,0
실패,23.860000000000003
수용,23.849999999999994
중국,23.81
원아,23.8
저하,23.76
느낌,23.76
예체능,23.76
이수,23.75
출소반대,23.749999999999996
장기,23.73
북한,23.71
창출,23.71
옛날,23.71
공제,23.709999999999997
정치인,23.709999999999997
무리,23.700000000000003
소속,23.62
행태,23.62
정리,23.62
분리,23.599999999999998
해결책,23.58
운동장,23.57
지불,23.55
서울시,23.52
신입,23.46
전달,23.370000000000005
성추행,23.369999999999997
과도,23.36
개설,23.36
평소,23.330000000000002
결론,23.310000000000002
교칙,23.2
기저귀,23.189999999999998
추천,23.15
약자,23.130000000000003
외면,23.080000000000002
원서,23.04
금수저,23.02
자랑,23.0
교대,22.97
체제,22.95
사전,22.939999999999998
판사,22.939999999999998
https,22.93
종일반,22.91
의료,22.889999999999997
댓글,22.859999999999996
사설,22.8
추구,22.78
차단,22.770000000000007
sns,22.75
급식실,22.720000000000002
서술,22.72
주체,22.71
먼지,22.69
울산,22.660000000000004
자유학년,22.66
유치원교사,22.66
최대한,22.66
인문,22.66
위원,22.610000000000003
호소,22.61
공론,22.61
권한,22.59
이사장,22.580000000000002
조절,22.560000000000002
bcg,22.55
증설,22.55
윤리,22.54
처분,22.53
편입,22.52
장치,22.52
우수,22.47
정교사,22.47
발언,22.459999999999997
tv,22.45
이내,22.44
사안,22.42
어수업,22.42
시청,22.41
입소,22.39
취직,22.37
통제,22.36
리나라,22.34
볼모,22.32
체크,22.3
한계,22.27
지인,22.26
보호자,22.26
수고,22.220000000000002
부작용,22.21
합법,22.21
발견,22.16
단절,22.12
형량,22.1
복무,22.099999999999998
노인,22.09
완화,22.080000000000002
취급,22.070000000000004
불가,22.059999999999995
사각지대,22.050000000000004
검증,22.04
스마트폰,22.03
피해학생,22.02
전쟁,22.01
기타,21.98
담당자,21.96
다문화,21.959999999999997
개념,21.950000000000003
서로,21.93
초과,21.92
기능,21.9
직접,21.89
명시,21.830000000000002
링크,21.819999999999997
혁명,21.810000000000002
성공,21.8
일상,21.79
하늘,21.769999999999996
법정,21.76
변호사,21.759999999999998
현직,21.699999999999996
사법,21.660000000000004
com,21.66
사퇴,21.659999999999997
적성,21.62
가해,21.520000000000003
날짜,21.52
논문,21.48
수입,21.48
거짓말,21.45
가구,21.45
책상,21.430000000000003
생활비,21.400000000000002
당사자,21.39
위탁,21.360000000000003
인격,21.360000000000003
음식,21.36
기계,21.340000000000003
선배,21.320000000000004
조리,21.3
구청,21.3
구역,21.3
간식,21.25
열람,21.229999999999997
시정,21.22
상상,21.2
탐구,21.16
계층,21.16
실망,21.15
계산,21.120000000000005
외국어,21.1
교체,21.08
구체,21.07
기말,21.060000000000002
한마디,21.020000000000003
이과,21.01
실기,20.93
계기,20.92
보완,20.900000000000002
용품,20.890000000000004
임시,20.87
구속,20.860000000000003
재판,20.78
소비자,20.770000000000003
이곳,20.75
명목,20.680000000000003
착용,20.680000000000003
경기,20.67
연봉,20.63
주관,20.610000000000003
가중,20.590000000000003
전교,20.550000000000004
홍보,20.55
진실,20.55
체육복,20.549999999999997
날씨,20.540000000000003
제목,20.530000000000005
촛불,20.5
가해학생,20.490000000000002
전부,20.490000000000002
권고,20.46
민주,20.400000000000002
운전,20.35
영유,20.34
교육법,20.270000000000003
수요,20.27
수능최저,20.249999999999996
박근혜,20.23
내아이,20.21
성과급,20.209999999999997
강릉,20.19
검찰,20.16
영양,20.139999999999997
누리,20.13
명령,20.110000000000003
횡령,20.1
통장,20.040000000000003
할머니,20.020000000000003
보수,20.02
구성원,19.94
철학,19.93
감옥,19.89
심사,19.88
www,19.87
통화,19.869999999999997
출산휴가,19.84
솜방망,19.810000000000002
맘카페,19.81
실험,19.799999999999997
부장,19.79
반면,19.78
집값,19.75
용서,19.740000000000002
부동산,19.740000000000002
연결,19.700000000000003
kr,19.67
애초,19.67
수술,19.66
차례,19.64
승진,19.64
분별,19.630000000000003
법폐,19.629999999999995
유예,19.62
자금,19.610000000000003
교무실,19.59
영양사,19.560000000000002
갈수,19.55
전액,19.490000000000002
영화,19.490000000000002
지시,19.459999999999997
논의,19.45
학사,19.42
동참,19.400000000000002
뿌리,19.37
구성,19.36
염색,19.35
안내,19.35
부종합전형,19.35
지문,19.32
가혹,19.299999999999997
편안,19.27
아이돌봄,19.189999999999998
계약직,19.189999999999998
항목,19.17
폐업,19.169999999999998
바탕,19.15
놀이터,19.12
시급,19.110000000000003
주차,19.11
형사,19.09
응원,19.08
실천,19.06
부패,19.04
초중,18.980000000000004
단설,18.98
책임감,18.96
탈락,18.95
노래,18.940000000000005
광주,18.94
동아리,18.939999999999998
한참,18.93
news,18.92
오류,18.900000000000002
확산,18.9
발급,18.889999999999997
거짓,18.889999999999997
다아이,18.85
채점,18.81
역량,18.78
불리,18.78
연예인,18.77
유튜브,18.750000000000004
노동자,18.740000000000002
성실,18.740000000000002
부실,18.73
부모가정,18.72
자치,18.72
유일,18.7
경찰서,18.7
법인,18.69
산정,18.67
언급,18.639999999999997
차지,18.630000000000003
토론식,18.61
흥미,18.599999999999998
운행,18.590000000000003
자원,18.58
퇴사,18.57
주의,18.569999999999997
한부모,18.560000000000002
방관,18.520000000000003
항의,18.52
학위,18.509999999999998
의혹,18.46
야근,18.46
참고,18.450000000000003
농어촌,18.42
입원,18.41
지옥,18.39
학자금,18.330000000000002
친환,18.289999999999996
후보,18.28
조직,18.27
별도,18.259999999999998
현금,18.259999999999998
위기,18.250000000000004
시립,18.21
이외,18.2
손해,18.19
가장,18.180000000000003
폭언,18.18
대상자,18.15
정답,18.13
일제,18.13
피부,18.12
방침,18.099999999999998
불행,18.09
